Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k),DC current (mA),angle (°)
158.31298999999999,-0.0818385,13.38412524429776,0.15831299,-8.183849999999999e-05,0.1455,3627.841316461563,160.04,159.98,0.001,-8.0
158.31365,-0.08169399999999999,12.914857199430665,0.15831365,-8.1694e-05,0.14134999999999998,3632.0085422992706,160.05,160.0,0.001,-8.0
158.313495,-0.0817745,12.4458468835335,0.158313495,-8.17745e-05,0.13635,3636.1782405376434,160.06,160.04,0.001,-8.0
158.31390000000002,-0.08171,11.977121785170102,0.1583139,-8.171e-05,0.13155,3640.333950281143,160.08,160.0,0.001,-8.0
158.313595,-0.0818495,11.508710216738368,0.158313595,-8.18495e-05,0.1264,3644.500166654587,160.05,159.97,0.001,-8.0
158.314155,-0.081909,11.040641314470264,0.158314155,-8.190899999999999e-05,0.1215,3648.674891471863,160.05,160.02,0.001,-8.0
158.314255,-0.08167250000000001,10.572945038431808,0.15831425500000001,-8.167250000000001e-05,0.11615,3652.844589948654,160.04,160.02,0.001,-8.0
158.314,-0.08169399999999999,10.105652172523085,0.158314,-8.1694e-05,0.1114,3657.0237998962402,160.06,160.02,0.001,-8.0
158.314055,-0.081672,9.63879432447824,0.158314055,-8.1672e-05,0.1055,3661.176547765732,160.04,160.0,0.001,-8.0
158.31394999999998,-0.081882,9.17240392586548,0.15831394999999998,-8.1882e-05,0.10095000000000001,3665.314281463623,160.05,160.0,0.001,-8.0
158.31390000000002,-0.0819305,8.70651423208707,0.1583139,-8.19305e-05,0.09645000000000001,3669.4585268497467,160.03,159.98,0.001,-8.0
158.31375,-0.0817745,8.241159322379342,0.15831375,-8.17745e-05,0.0909,3673.603257417679,160.05,160.01,0.001,-8.0
158.313195,-0.08181200000000001,7.776374099812687,0.15831319500000002,-8.181200000000001e-05,0.08615,3677.7579884529114,160.03,160.0,0.001,-8.0
158.31380000000001,-0.081839,7.312194291291557,0.1583138,-8.1839e-05,0.08115,3681.9032294750214,160.06,159.97,0.001,-8.0
158.31380000000001,-0.0819625,6.848656447554464,0.1583138,-8.19625e-05,0.07565,3686.0522599220276,160.04,160.0,0.001,-8.0
158.3136,-0.081715,6.385797943173984,0.1583136,-8.1715e-05,0.07095,3690.214596748352,160.06,160.04,0.001,-8.0
158.313345,-0.08183349999999999,5.923656976556756,0.158313345,-8.18335e-05,0.06655,3694.3913040161133,160.04,160.0,0.001,-8.0
158.313595,-0.0819895,5.462272569943473,0.158313595,-8.198950000000001e-05,0.06125,3698.5330555438995,160.05,159.97,0.001,-8.0
158.3136,-0.081812,5.0016845694089,0.1583136,-8.1812e-05,0.05605,3702.68275475502,160.05,160.03,0.001,-8.0
158.31374999999997,-0.08175850000000001,4.541933644861854,0.15831374999999998,-8.17585e-05,0.0504,3706.839973449707,160.06,160.03,0.001,-8.0
158.313545,-0.08175850000000001,4.083061290045219,0.158313545,-8.17585e-05,0.04605,3710.995194196701,160.04,159.93,0.001,-8.0
158.31380000000001,-0.0817745,3.625109822535939,0.1583138,-8.17745e-05,0.041249999999999995,3715.1509082317352,160.04,160.03,0.001,-8.0
158.31410499999998,-0.08177999999999999,3.1681223837450183,0.15831410499999998,-8.177999999999999e-05,0.036199999999999996,3719.2871453762054,160.06,160.03,0.001,-8.0
158.313955,-0.08181200000000001,2.7121429389175247,0.158313955,-8.181200000000001e-05,0.031100000000000003,3723.4433691501617,160.03,159.99,0.001,-8.0
158.314155,-0.08175850000000001,2.257216277132586,0.158314155,-8.17585e-05,0.02635,3727.58909368515,160.06,160.02,0.001,-8.0
158.314205,-0.081882,1.803388011303391,0.15831420499999999,-8.1882e-05,0.02175,3731.737306833267,160.05,159.99,0.001,-8.0
158.31461000000002,-0.08180699999999999,1.350704578177192,0.15831461000000002,-8.1807e-05,0.015899999999999997,3735.894528388977,160.05,159.97,0.001,-8.0
158.31451,-0.0818655,0.8992132383353009,0.15831451000000002,-8.18655e-05,0.0117,3740.032258749008,160.05,159.99,0.001,-8.0
158.31461000000002,-0.0820645,0.44896207619309175,0.15831461000000002,-8.20645e-05,0.00685,3744.17848443985,160.05,159.99,0.001,-8.0
158.31481499999998,-0.082188,0.39501759062550346,0.158314815,-8.218799999999999e-05,0.006,3748.082249403,160.05,159.95,0.001,-8.0
158.31456,-0.0820805,0.34109175223188015,0.15831456,-8.208050000000001e-05,0.00595,3751.9903819561005,160.06,159.99,0.001,-8.0
158.31450999999998,-0.08222549999999999,0.28718464649371495,0.15831451,-8.22255e-05,0.0054,3755.9200954437256,160.06,160.01,0.001,-8.0
158.31461,-0.08253150000000001,0.23329635906333102,0.15831461,-8.253150000000001e-05,0.00425,3759.8243696689606,160.05,160.01,0.001,-8.0
158.31450999999998,-0.08267149999999998,0.17942697576388178,0.15831451,-8.267149999999999e-05,0.0040999999999999995,3763.7400970458984,160.05,160.0,0.001,-8.0
158.315015,-0.083139,0.12557658258935098,0.158315015,-8.3139e-05,0.00375,3767.6378293037415,160.04,159.97,0.001,-8.0
158.314155,-0.083998,0.07174526570455253,0.158314155,-8.3998e-05,0.0025,3771.5341007709503,160.05,159.99,0.001,-8.0
158.31192500000003,-0.0847825,0.01793311144513059,0.15831192500000002,-8.47825e-05,0.00195,3775.43785071373,160.07,160.02,0.001,-8.0
158.3101,-0.08490599999999998,-0.035868361681283045,0.1583101,-8.490599999999999e-05,0.0019,3782.3633630275726,160.06,160.01,0.001,-8.0
158.307715,-0.0838695,-0.08968691308589159,0.15830771500000002,-8.38695e-05,0.001,3786.2796149253845,160.05,159.99,0.001,-8.0
158.30503000000002,-0.08306350000000001,-0.14352459831834743,0.15830503,-8.306350000000001e-05,0.00075,3790.2058594226837,160.05,159.98,0.001,-8.0
158.29722,-0.0813075,-0.19738133109994987,0.15829722000000002,-8.130750000000001e-05,-0.0003,3794.115087747574,160.04,160.02,0.001,-8.0
158.187335,-0.07872900000000001,-0.25125702532282834,0.15818733499999998,-7.872900000000001e-05,-0.00055,3798.034801721573,160.04,159.99,0.001,-8.0
158.29762499999998,-0.077692,-0.3051515950499426,0.158297625,-7.7692e-05,-0.00095,3801.941555261612,160.04,159.97,0.001,-8.0
158.30432,-0.07904050000000001,-0.3590649545150826,0.15830432,-7.904050000000001e-05,-0.0014,3805.8473036289215,160.05,160.0,0.001,-8.0
158.30807000000001,-0.07990549999999999,-0.41299701812286843,0.15830807000000002,-7.99055e-05,-0.0024000000000000002,3809.7463858127594,160.01,160.0,0.001,-8.0
158.31060499999998,-0.080888,-0.46694770044875067,0.158310605,-8.0888e-05,-0.0024999999999999996,3813.6555075645447,160.04,160.0,0.001,-8.0
158.31319,-0.08110300000000001,-0.5209169162390097,0.15831319,-8.110300000000001e-05,-0.0036,3817.565217733383,160.06,160.0,0.001,-8.0
158.31385,-0.0811785,-0.5749045804107568,0.15831385,-8.117850000000001e-05,-0.00445,3821.474935054779,160.05,159.98,0.001,-8.0
